adgroup_id,group_name,campaign_id,campaign_name,group_status,n_excl,n_console,n_ours
grp-a001-02-000000044108616,"S24울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000044299892,"02. S23FE",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,70,70,0
grp-a001-02-000000044490484,"Z플립5",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000044603942,"13프로",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,70,70,0
grp-a001-02-000000045023176,"S20울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000045687119,"Z폴드6SE",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000047485224,S25FE,cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000054530371,"S25울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000054536931,"Z플립6",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000054537415,"S24플러스",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000054538147,"S22울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000056537604,"S25플러스",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,70,70,0
grp-a001-02-000000059830517,"16프로맥스",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,70,70,0
grp-a001-02-000000059830538,14,cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,70,70,0
grp-a001-02-000000059832332,"15프로맥스",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,70,70,0
grp-a001-02-000000044108257,"S23플러스",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,69,69,0
grp-a001-02-000000044490481,"Z폴드5",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,69,69,0
grp-a001-02-000000044603941,"12프로",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,69,69,0
grp-a001-02-000000055045417,"S25엣지",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,68,68,0
grp-a001-02-000000044601555,"14프로",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,67,67,0
grp-a001-02-000000059830521,16,cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,67,67,0
grp-a001-02-000000045811975,"01. S24FE",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,66,66,0
grp-a001-02-000000059830547,"16플러스",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,66,66,0
grp-a001-02-000000044601438,"16프로",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,65,65,0
grp-a001-02-000000045023993,S105G,cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,64,64,0
grp-a001-02-000000045025481,"노트9",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,64,64,0
grp-a001-02-000000045025482,"노트10",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,64,64,0
grp-a001-02-000000059880038,"17에어",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,62,62,0
grp-a001-02-000000062947040,"S26울트라",cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,62,62,0
grp-a001-02-000000044823468,"15프로",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,61,61,0
grp-a001-02-000000059879629,"17프로",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,60,60,0
grp-a001-02-000000044300024,"08. A24/A34",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,57,57,0
grp-a001-02-000000044108615,S22,cmp-a001-02-000000008425541,"● 01. 갤럭시_지문방지_TPU",on,56,56,0
grp-a001-02-000000044299955,"03. S20FE",cmp-a001-02-000000008452546,"● 02. 갤럭시_보급형_M",on,54,54,0
grp-a001-02-000000044825994,"02. 아이폰16 시리즈",cmp-a001-02-000000008514959,"● [P_삭제금지]04. 아이폰_지문방지",on,53,53,0
grp-a001-02-000000059830530,"14프로맥스",cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,53,53,0
grp-a001-02-000000054617822,"01. 강화유리",cmp-a001-02-000000009793536,"● 00. 아이폰_17",on,52,52,0
grp-a001-02-000000059879687,17,cmp-a001-02-000000008492582,"● [P_삭제금지]03. 아이폰_강화유리",on,52,52,0
grp-a001-02-000000070991863,"폴드8",cmp-a001-02-000000010164717,"● 01. 갤럭시_지문방지_사생활",on,51,51,0
